x_plr,x_delay,y_label
1.1,31.113,1
1.1,31.113,1
1.1,31.261,1
1.1,31.261,1
1.1,31.319,1
1.1,31.461,0
4.4,31.461,1
4.4,31.539,1
4.4,31.539,1
4.4,31.48,1
1.1,31.48,1
1.1,31.48,1
1.1,31.689,1
1.1,31.689,1
1.1,30.884,1
1.1,30.884,1
1.1,31.327,1
1.1,31.296,0
0.0,31.089,0
0.0,31.089,0
1.1,30.936,1
1.1,30.936,1
1.1,31.128,1
1.1,31.413,1
1.1,33.316,1
1.1,33.316,1
1.1,31.242,1
1.1,31.242,1
0.0,31.242,1
0.0,31.427,1
0.0,31.427,1
0.0,31.99,1
1.1,31.99,1
1.1,31.99,1
1.1,31.071,1
1.1,32.946,1
1.1,32.053,1
1.1,32.053,1
1.1,32.653,1
1.1,32.653,1
1.1,31.471,1
1.1,31.471,1
0.0,31.471,1
0.0,30.942,1
0.0,30.942,1
0.0,31.711,1
1.1,31.175,1
1.1,31.025,1
1.1,31.025,1
2.2,31.127,1
2.2,31.127,1
2.2,31.107,1
3.3,31.107,1
3.3,31.766,1
3.3,31.159,1
3.3,31.159,1
0.0,31.159,1
0.0,31.607,1
0.0,31.607,1
0.0,30.982,1
0.0,30.982,1
0.0,32.057,1
0.0,32.057,1
0.0,31.363,1
0.0,30.908,1
0.0,31.269,1
0.0,31.256,1
0.0,31.256,1
0.0,31.156,1
0.0,31.156,1
0.0,31.724,1
1.1,31.724,1
1.1,31.724,1
1.1,31.966,1
0.0,31.518,1
0.0,31.518,1
0.0,31.491,1
0.0,31.491,1
0.0,31.27,1
0.0,31.27,1
0.0,30.94,0
2.2,30.94,0
2.2,30.94,0
2.2,31.121,0
2.2,31.079,1
1.1,31.079,1
1.1,31.027,1
1.1,31.027,1
3.3,32.093,1
3.3,32.093,1
3.3,31.522,1
3.3,31.522,1
0.0,31.043,1
0.0,31.043,1
0.0,31.489,1
3.3,31.489,1
3.3,31.07,1
3.3,31.441,1
3.3,31.441,1
0.0,31.441,1
0.0,32.385,1
0.0,32.385,1
0.0,32.512,1
0.0,32.512,1
0.0,30.969,1
0.0,31.858,1
0.0,31.181,1
0.0,31.181,1
1.1,31.476,1
1.1,31.476,1
1.1,31.29,1
4.4,31.29,1
4.4,31.563,1
4.4,30.944,1
1.1,30.944,1
1.1,31.281,1
1.1,31.281,1
1.1,30.886,1
0.0,30.886,1
0.0,31.504,1
0.0,31.504,1
2.2,32.187,1
2.2,32.187,1
2.2,31.467,1
0.0,31.467,1
0.0,31.37,1
0.0,31.128,1
2.2,31.128,1
2.2,31.519,1
2.2,31.519,1
1.1,31.247,1
1.1,31.247,1
1.1,32.191,1
0.0,32.191,1
0.0,32.191,1
0.0,31.861,1
